id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
823464,Godzilla x Kong: The New Empire,"['Science Fiction', 'Action', 'Adventure']",en,Following their explosive showdown Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world challenging their very existence â€“ and our own.,10.484.676,Legendary Pictures-Warner Bros. Pictures,27/3/2024,150000000,558503759,115.0,Released,Rise together or fall alone.,7.246,1878,"['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson', 'Greg Hatton', 'Kevin Copeland', 'Tess Dobre', 'Tim Carroll', 'Anthony Brandon Wong', 'Sophia Emberson', 'Bain', 'Chika Ikogwe', 'Vincent B. Gorce', 'Yeye Zhou', 'Jamaliah Othman', 'Nick Lawler', 'Jordy Campbell', 'Cassie Riley', 'Robert Clavero', 'Patrick Moroney']",giant monster-sequel-dinosaur-kaiju-fantasy world-giant ape-godzilla-king kong-mongkey,/v4uvGFAkKuYfyKLGZnYj6l47ERQ.jpg,/j3Z3XktmWB1VhsS8iXNcrR86PXi.jpg,1011985-1275232-359410-601796-967847-653346-693134-1096197-929590-934632-560016-940721-634492-1094844-60589-1125311-856289-437342-845783-763215
615656,Meg 2: The Trench,"['Action', 'Science Fiction', 'Horror']",en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,8.763.998,Apelles Entertainment-Warner Bros. Pictures-di Bonaventura Pictures-CMC Pictures-Gravity Pictures-China Film Group Corporation,2/8/2023,129000000,352056482,116.0,Released,Back for seconds.,7.079,1365,"['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Sergio Peris', 'Mencheta', 'Skyler Samuels', 'Cliff Curtis', 'Page Kennedy', 'Sienna Guillory', 'Melissanthi Mahut', 'Kiran Sonia Sawar', 'Felix Mayr', 'Whoopie van Raam', 'Guo Tao', 'Robin Hill', 'Dai Lele', 'Sui Fong Ivy Tsui', 'Stewart Alexander', 'Li Xin', 'Billy Clements', 'Ron Smoorenburg', 'Rui Shang', 'Sara Dee', 'Jonny James', 'Bai Narisu', 'Kenneth Won', 'Able Wanamakok']",based on novel or book-sequel-kaiju,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,/qlxy8yo5bcgUw2KAmmojUKp4rHd.jpg,1006462-298618-569094-1061181-346698-1076487-616747-1083862-614930-1003581-980489-614479-1040148-872585-57084-667538-1149381-457332-724209-884605
758323,The Pope's Exorcist,"['Horror', 'Mystery', 'Thriller']",en,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,5.953.227,Screen Gems-2.0 Entertainment-Jesus & Mary-Worldwide Katz-Loyola Productions-FFILME.RO,5/4/2023,18000000,65675816,103.0,Released,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",7.433,545,"['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero', 'Peter DeSouza', 'Feighoney', 'Laurel Marsden', 'Cornell John', ""Ryan O'Grady"", 'Bianca Bardoe', 'Santi BayÃ³n', 'Paloma Bloyd', 'Alessandro Gruttadauria', 'River Hawkins', 'Jordi Collet', 'Carrie Munro', 'Marc Velasco', 'Edward Harper', 'Jones', 'Matthew Sim', 'Victor SolÃ©', 'Tom Bonington', 'Andrea Dugoni', 'Ed White', 'Laila Barwick', 'Gennaro Diana', 'Pablo Raybould', 'Ralph Ineson', 'Derek Carroll', 'Ella Cannon']",spain-rome italy-vatican-pope-pig-possession-conspiracy-devil-exorcist-skepticism-catholic priest-1980s-supernatural horror,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,/hiHGRbyTcbZoLsYYkO4QiCLYe34.jpg,713704-296271-502356-1076605-1084225-1008005-916224-1023313-1033219-980078-842945-943822-816904-804150-638974-649609-603692-849869-809787-776835-1104040
667538,Transformers: Rise of the Beasts,"['Action', 'Adventure', 'Science Fiction']",en,When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.,5.409.104,Skydance-Paramount-di Bonaventura Pictures-Bay Films-New Republic Pictures-Tom DeSanto/Don Murphy Production-Hasbro,6/6/2023,200000000,407045464,127.0,Released,Unite or fall.,7.34,1007,"['Anthony Ramos', 'Dominique Fishback', 'Luna Lauren Velez', 'Dean Scott Vazquez', 'Tobe Nwigwe', 'Sarah Stiles', 'Leni Parker', 'Frank Marrs', 'Aidan Devine', 'Kerwin Jackson', 'Mike Chute', 'Tyler Hall', 'Sean Tucker', 'Jay Farrar', 'Lucas Huarancca', 'Amiel Cayo', 'Santusa Cutipa', 'Yesenia Inquillay', ""Sumac T'Ika"", 'Josue Sallo', 'Mellissa Alvarez', 'Gloria Cusi', 'Michael Kelly', 'Jason D. Avalos', 'Lesley Stahl', 'Peter Cullen', 'Ron Perlman', 'Peter Dinklage', 'Michelle Yeoh', 'Pete Davidson', 'Liza Koshy', 'John DiMaggio', 'David Sobolov', 'Michaela JaÃ© Rodriguez', 'Colman Domingo', 'Cristo FernÃ¡ndez', 'Tongayi Chirisa', 'Luke Jones']",peru-alien-end of the world-based on cartoon-based on toy-robot-duringcreditsstinger-1990s-brother brother relationship,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,/woJbg7ZqidhpvqFGGMRhWQNoxwa.jpg,496450-569094-298618-385687-877100-598331-462883-979296-536437-532408-976573-447277-697843-603692-763261-9281-886563-324857-129120-980372-412117
693134,Dune: Part Two,"['Science Fiction', 'Adventure']",en,Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe Paul endeavors to prevent a terrible future only he can foresee.,4.742.163,Legendary Pictures,27/2/2024,190000000,683813734,167.0,Released,Long live the fighters.,8.3,2770,"['TimothÃ©e Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'LÃ©a Seydoux', 'Stellan SkarsgÃ¥rd', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison', 'Tara Breathnach', 'Akiko Hitomi', 'Imola GÃ¡spÃ¡r', 'Alison Adnet', 'Hamza Baissa', 'Hassan Najib', 'Jasper Ryan', 'Carter', 'Elbooz Omar Ahmed Fathie', 'Abdelkarim Hussein Seli Mohamed Hassanin', 'Joseph Beddelem', 'Xavier Alba Royo', 'Rachid Abbad', 'Affif Ben Badra', 'Botond BÃ³ta', 'Abdelaziz Boumane', 'Abdellah Echahbi', 'Zouhair Elakkari', 'Noureddine Hajoujou', 'Mohamed Mouraoui', 'Adil Achraf Sayd', 'Hamza Sayd', 'Hopi Grace', 'Havin Fathi', 'KincsÃ¶ PethÃ¶', 'Cat Simmons', 'Burt Caesar', 'Remi Fadare', 'Amer El', 'Erwadi', 'Tedroy Newell', 'Oxa Hazel', 'Hajiyeva Pakiza', 'Leon Herbert', 'Sima Rostami', 'Yvonne Campbell', 'Joseph Charles', 'Vic Zander', 'Dylan Baldwin', 'Marcia Tucker', 'Nicola Brome', 'Kathy Owen', 'Huw Novelli', 'Moe Bar', 'El', 'Serhat Metin', 'Amra Mallassi', 'Adam Bloom', 'Luis Alkmim', 'Jordan Long', 'Omar A.K.', 'ZdenÄ›k DvoÅ™Ã¡Äek', 'Billy Clements', 'Anton Saunders', 'Lex Daniel', 'Dominic McHale', 'Paul Boyle', 'Niall White', 'Tony Cook', 'GÃ¡bor SzemÃ¡n', 'Jonathan Gunning', 'Will Irvine', 'Alan Mehdizadeh', 'Rex Adams', 'Molly Mcowan', 'Ana Cilas', 'Kajsa Mohammar', 'SÃ¡ra BÃ¡csfalvi', 'Kocsis Zsofia', 'Matthew Sim', 'Steve Wall', 'Italo Amerighi', 'Tim Hilborne', 'Cecile Sinclair', 'Tracy Coogan', 'Zoe Kata Kaska', 'Jimmy Walker', 'Rand Faris', 'Fouad Humaidan', 'Manaf Irani', 'Dora KÃ¡polnai', 'Schvab', 'Joelle', 'Anya Taylor', 'Joy', 'Peter Sztojanov Jr.', 'Alexandra TÃ³th']",epic-based on novel or book-fight-sandstorm-sand-spice-chosen one-sequel-distant future-creature-planet-desert-destiny-giant worm-space opera-sand dune-messiah-vengeance-giant creature-power-violence-dune part two,/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg,/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,438631-763215-792307-1011985-467244-634492-359410-915935-1022690-823464-1056360-994108-636706-967847-998022-957304-935271-697620-760774-932420
640146,Ant-Man and the Wasp: Quantumania,"['Action', 'Adventure', 'Science Fiction']",en,Super-Hero partners Scott Lang and Hope van Dyne along with with Hope's parents Janet van Dyne and Hank Pym and Scott's daughter Cassie Lang find themselves exploring the Quantum Realm interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.,4.425.387,Marvel Studios-Kevin Feige Productions,15/2/2023,200000000,475766228,125.0,Released,Witness the beginning of a new dynasty.,6.507,2811,"['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Kathryn Newton', 'Michelle Pfeiffer', 'Michael Douglas', 'Corey Stoll', 'Bill Murray', 'William Jackson Harper', 'David Dastmalchian', 'Jamie Andrew Cutler', ""Katy O'Brian"", 'Mark Weinman', 'Randall Park', 'Ross Mullan', 'Tom Clark', 'Leon Cooke', 'Nathan Blees', 'Durassie Kiangangu', 'Liran Nathan', 'Sam Symons', 'Grahame Fox', 'Nicola Peluso', 'Harrison Daniels', 'Brahmdeo Shannon Ramana', 'Russell Balogh', 'Leonardo Taiwo', 'Osian Roberts', 'Lucas Gerstel', 'Mia Gerstel', 'Tracy Jeffrey', 'Dinah Jeffrey', 'Judy Jeffrey', 'John Nayagam', 'Greta Nayagam', 'Cathy Chan', 'Adam Sai', 'Jamie Sai', 'Jakari Fraser', 'Patricia Belcher', 'Mark Oliver Everett', 'Ruben Rabasa', 'Melanie Garcia', 'Gregg Turkington', 'Sierra Katow', 'Ryan Bergara', 'Marielle Scott', 'Jake Millgard', 'Dey Young', 'Briza Covarrubias', 'Tess Aubert', 'David J. Castillo', 'Sir Cornwell', 'Alan Heitz', 'Esther McAuley', 'Aisling Maria Andreica', 'Milton Lopes', 'Roger Craig Smith', 'Matthew Wood', 'Loveday Smith', 'John Townsend', 'Tom Hiddleston', 'Owen Wilson', 'Abby Ryder Fortson']",hero-ant-sequel-superhero-based on comic-family-superhero team-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu),/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,/m8JTwHFwX7I7JY5fPe4SjqejWag.jpg,823999-676841-868759-734048-267805-965839-1033219-1035806-946310-811948-842942-772515-1058949-1105283-938992-1077280-76600-677179-802401-461191-980078
677179,Creed III,"['Drama', 'Action']",en,After dominating the boxing world Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy Damien Anderson resurfaces after serving a long sentence in prison he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score Adonis must put his future on the line to battle Damien â€” a fighter who has nothing to lose.,3.994.342,Metro-Goldwyn-Mayer-Proximity Media-Balboa Productions-Outlier Society Productions-Chartoff-Winkler Productions,1/3/2023,75000000,269000000,116.0,Released,You can't run from your past.,7.262,1129,"['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris', 'Phylicia RashÄd', 'Mila Davis', 'Kent', 'JosÃ© Benavidez Jr.', 'Selenis Leyva', 'Florian Munteanu', 'Thaddeus J. Mixson', 'Spence Moore II', 'Tony Bellew', 'Patrice Harris', 'Ann Najjar', ""Jacob 'Stitch' Duran"", 'Terence Crawford', 'Bobby Hernandez', 'Yahya McClain', 'Lamont Lankford', 'Corey Calliet', 'Kenny Bayless', 'Todd Grisham', 'Jessica McCaskill', 'Maya Page', 'Jimmy Lennon Jr.', 'Russell Mora', 'Al Bernstein', 'Mauro Ranallo', 'Brianna Valeria Gonzalez Vazquez', 'Shayra Medal', 'Kimberly Dawn Davis', 'David Diamante', 'Tony Weeks', 'Chris Mannix', 'Andreia Gibau', 'Soraya Yd', 'Stephen A. Smith', 'Barry Pepper', 'Jessica Holmes', 'Canelo Ãlvarez', 'Fernanda Gomez', 'Kehlani', 'Jeremy Lee Stone', 'Aaron D. Alexander', 'Brian Neal', 'Corey Hibbert', 'James Harden', 'Jove Edmond', 'Engle Files', 'Michael A. Jordan', 'Natasha Ofili', 'Rose Eshay', 'Alan Boell', 'Eli Joshua AdÃ©', 'Butch Locsin', 'Stefni Valencia', 'Bella Dee', 'Anastasia Wilson', 'Beth Scherr', 'Michelle Davidson', 'Leah Haile', 'TeÃ³fimo LÃ³pez', 'Pete Penuel']",philadelphia pennsylvania-husband wife relationship-deaf-sports-sequel-orphan-former best friend-ex-con-childhood friends-juvenile detention center-boxing-prodigy,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,/5i6SjyDbDWqyun8klUuCxrlFbyw.jpg,965839-267805-943822-842942-1035806-823999-1077280-1058949-772515-937278-640146-758009-536554-1011679-315162-934433-785084-631842-82856-100088-436270
614479,Insidious: The Red Door,"['Horror', 'Mystery', 'Thriller']",en,To put their demons to rest once and for all Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.,3.512.648,Blumhouse Productions-Stage 6 Films-Screen Gems-Atomic Monster-Oren Peli Productions,5/7/2023,16000000,175582093,107.0,Released,It ends where it all began.,6.75,564,"['Ty Simpkins', 'Patrick Wilson', 'Sinclair Daniel', 'Rose Byrne', 'Lin Shaye', 'Hiam Abbass', 'Andrew Astor', 'Juliana Davies', 'Steve Coulter', 'Peter Dager', 'Joseph Bishara', 'Angus Sampson', 'Leigh Whannell', 'Justin Sturgis', 'David Call', 'Stephen Gray', 'Robin S. Walker', 'Bridget Kim', 'Logan Wilson', 'Kasjan Wilson', 'Mary Looram', 'Adrian Acosta', 'AJ Dyer', 'Kalin Wilson', 'E. Roger Mitchell', 'Dagmara DomiÅ„czyk', 'Tom Toland', 'Elaine Apruzzese', 'Suki Ãšna Rae', 'Desi Ramos', 'Victorya Danylko', 'Petrovskaya', 'Tom Fitzpatrick', 'Barbara Hershey']",sequel-demon-franchise-insidious-supernatural horror-evil spirits-directorial debut-fifth part,/azTC5osYiqei1ofw6Z3GmUrxQbi.jpg,/i2GVEvltEu3BXn5crBSxgKuTaca.jpg,681435-644937-448085-980848-1101547-988355-561529-1084119-1070136-843275-147696-302252-847802-705862-699014-446106-13200-629524-621557-860964-647201
519182,Despicable Me 4,"['Animation', 'Family', 'Comedy', 'Action']",en,Gru and Lucy and their girlsâ€”Margo Edith and Agnesâ€”welcome a new member to the Gru family Gru Jr. who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina forcing the family to go on the run.,3195.72,Universal Pictures-Illumination-dentsu-Fuji Television Network,20/6/2024,100000000,810329715,94.0,Released,Things just got a little more despicable.,7.35,984,"['Steve Carell', 'Kristen Wiig', 'Will Ferrell', 'SofÃ­a Vergara', 'Miranda Cosgrove', 'Dana Gaier', 'Madison Polan', 'Pierre Coffin', 'Chris Renaud', 'Steve Coogan', 'Stephen Colbert', 'Chloe Fineman', 'Joey King', 'Laraine Newman', 'John DiMaggio', 'Tara Strong', 'Romesh Ranganathan', 'Brad Ableson', 'Barbara Harris', 'Eden Boulton', 'JP Karliak', 'Cathy Cavadini', 'Arif S. Kinchen', 'Will Collyer', 'Jeremy Maxwell', 'Abby Craden', 'Ken Daurio', 'Khary Payton', 'John DeMita', 'Aaron Fors', 'Isaac Robinson', 'Smith', 'Willow Geer', 'Isa Hall', 'Nisa Ward', 'Aaron Hendry', 'Andreana Weiner', 'Colette Whitaker']",superhero-villain-sequel-super villain-illumination-kids-disapproving,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,748783-1022789-1023922-533535-1114738-718821-573435-762441-1214509-1016346-1093995-1082063-729165-1209217-856289-786892-1226578-956842-1209290-280180
569094,Spider-Man: Across the Spider-Verse,"['Action', 'Adventure', 'Animation', 'Science Fiction']",en,After reuniting with Gwen Stacy Brooklynâ€™s full-time friendly neighborhood Spider-Man is catapulted across the Multiverse where he encounters the Spider Society a team of Spider-People charged with protecting the Multiverseâ€™s very existence. But when the heroes clash on how to handle a new threat Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.,2.550.738,Columbia Pictures-Sony Pictures Animation-Lord Miller-Pascal Pictures-Arad Productions,31/5/2023,100000000,512609552,140.0,Released,It's how you wear the mask that matters,8.64,1684,"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Daniel Kaluuya', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Mahershala Ali', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch', 'Ziggy Marley', 'Jorma Taccone', 'J.K. Simmons', 'Donald Glover', 'Elizabeth Perkins', 'Kathryn Hahn', 'Ayo Edebiri', 'Nicole Delaney', 'Antonina Lentini', 'Atsuko Okatsuka', 'Peter Sohn', 'Melissa Sturm', 'Lorraine Velez', 'Nic Novicki', 'Taran Killam', 'Metro Boomin', 'Josh Keaton', 'Sofia Barclay', 'Danielle Perez', 'Yuri Lowenthal', 'Rita Rani Ahuja', 'Ismail Bashey', 'Oscar Camacho', 'Freddy Ferrari', 'Kerry Gutierrez', 'Kamal Khan', 'Angelo Sekou Kouyate', 'Andrew Leviton', 'David Michie', 'Sumit Naig', 'Juan Pacheco', 'Chrystee Pharris', 'Ben Pronsky', 'Al Rodrigo', 'Jaswant Dev Shrestha', 'Libby Thomas Dickey', 'Ruth Zalduondo', 'Jasper Johannes Andrews', 'Gredel Berrios Calladine', 'Natalia Castellanos', 'Russell Tyre Francis', 'Deepti Gupta', 'Sohm Kapila', 'Pradnya Kuwadekar', 'Ashley London', 'Christopher Miller', 'Andrea Navedo', 'Lakshmi Patel', 'Jacqueline Pinol', 'Eliyas Qureshi', 'Lashana Rodriguez', 'Dennis Singletary', 'Amanda Troop', 'Sitara Attaie', 'Mayuri Bhandari', 'June Christopher', 'Michelle Jubilee Gonzalez', 'Marabina Jaimes', 'Rez Kempton', 'Lex Lang', 'Phil Lord', 'Richard Miro', 'Doug Nicholas', ""Shakira Ja'nai Paye"", 'James Pirri', 'Marley Ralph', 'Michelle Ruff', 'Narender Sood', 'Cedric L. Williams', 'Kimberly Bailey', 'Sanjay Chandani', 'Melanie Duke', 'Jorge R. Gutierrez', 'Miguel Jiron', 'Deepti Kingra', 'Mickelsen', 'Luisa Leschin', 'Caitlin McKenna', 'Richard Andrew Morgado', 'Arthur Ortiz', 'Eliana A. Perez', 'Juan Pope', 'Mike Rianda', 'Stan Sellers', 'Warren Sroka', 'Jason Linere', 'White', 'Kimiko Glenn', 'Peggy Lu', 'John Mulaney', 'Andrew Garfield', 'Denis Leary', 'Tobey Maguire', 'Cliff Robertson', 'Alfred Molina', 'Post Malone']",sacrifice-villain-comic book-sequel-superhero-based on comic-alternate dimension-alternate version-super power-brooklyn new york city-superhero team-spider bite-super villain-cliffhanger-teen superhero-alternate universe-female superhero-cartoon spider,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,496450-667538-385687-603692-298618-447277-976573-598331-324857-447365-462883-536437-979296-313369-537210-1106591-532408-502356-1140706-820707-462376
